project_id,address,units,v2_status,v2_co_date,inspection_co_date,classification,delta_days,n_permits_with_inspections,n_permits_with_approved_final,multi_permit,per_permit,final_results_seen
558,901 Cragmont,1,Completed,2019-03-05,2019-03-05,agrees,0,1,1,0,B2017-02860=2019-03-05,Approved;Disapproved
477,1531 Derby St,1,Completed,2018-11-20,2018-11-20,agrees,0,1,1,0,B2017-02961=2018-11-20,Approved;Cancelled;Disapproved
583,450 Arlington,1,Completed,2019-12-02,2019-12-02,agrees,0,1,1,0,B2017-03153=2019-12-02,Approved;Disapproved
516,1218 Evelyn Ave,1,Completed,2018-12-28,2018-12-28,agrees,0,1,1,0,B2017-03316=2018-12-28,Approved;Disapproved
501,1120 Parker St,1,Completed,2018-06-26,2018-06-26,agrees,0,1,1,0,B2017-03353=2018-06-26,Approved;Disapproved;Site Cancellation
524,2504 Grant St,1,Completed,2018-01-29,2018-01-29,agrees,0,1,1,0,B2017-03447=2018-01-29,Approved
521,2217 Eighth St,1,Completed,2018-11-08,2018-11-08,agrees,0,1,1,0,B2017-03507=2018-11-08,Approved;Disapproved
628,681 Spruce,1,Completed,2019-07-18,2019-07-18,agrees,0,1,1,0,B2017-03691=2019-07-18,Approved;Disapproved
675,2312 Stuart,1,Completed,2020-03-10,2020-03-10,agrees,0,1,1,0,B2017-03830=2020-03-10,Approved;Disapproved
533,1040 Mariposa Ave,1,Completed,2019-02-05,2019-02-05,agrees,0,1,1,0,B2017-03979=2019-02-05,Approved;Disapproved
603,1128 Blake St,1,Completed,2019-07-17,2019-07-17,agrees,0,1,1,0,B2017-04149=2019-07-17,Approved;Cancelled;Disapproved
509,2751 Prince St,1,Completed,2018-07-24,2018-07-24,agrees,0,1,1,0,B2017-04165=2018-07-24,Approved;Disapproved
561,1229 Dwight Way,1,Completed,2019-06-17,2019-06-17,agrees,0,1,1,0,B2017-04413=2019-06-17,Approved
535,1204 Blake St,1,Completed,2019-02-27,2019-02-27,agrees,0,1,1,0,B2017-04626=2019-02-27,Approved;Cancelled;Disapproved
485,1224 Stannage Ave,1,Completed,2018-10-22,2018-10-22,agrees,0,1,1,0,B2017-04713=2018-10-22,Approved;Approved with Conditions
566,2233 Curtis,1,Completed,2019-01-08,2019-01-08,agrees,0,1,1,0,B2017-04756=2019-01-08,Approved;Disapproved
826,1725 HOPKINS,1,Completed,2022-07-20,2022-07-20,agrees,0,1,1,0,B2017-04758=2022-07-20,Approved;Approved with Conditions
497,1357 Northside Ave,1,Completed,2018-11-15,2018-11-15,agrees,0,1,1,0,B2017-04855=2018-11-15,Approved;Disapproved
709,1611 Stannage,1,Completed,2021-03-29,2021-03-29,agrees,0,1,1,0,B2017-04866=2021-03-29,Approved;Cancelled;Disapproved;Partially Approved
866,1420 DWIGHT,1,Completed,2022-07-22,2022-07-22,agrees,0,1,1,0,B2017-05247=2022-07-22,Approved;Disapproved
617,2707 Hillegass,1,Completed,2019-04-05,2019-04-05,agrees,0,1,1,0,B2018-00483=2019-04-05,Approved;Cancelled;Disapproved
610,1516 Le Roy,1,Completed,2019-02-20,2019-02-20,agrees,0,1,1,0,B2018-00510=2019-02-20,Approved
728,1120 Oxford,1,Completed,2021-12-03,2021-12-03,agrees,0,1,1,0,B2018-00512=2021-12-03,Approved;Cancelled;Disapproved
551,2856 Webster,1,Completed,2019-07-30,2019-07-30,agrees,0,1,1,0,B2018-00747=2019-07-30,Approved;Cancelled;Disapproved
855,8 MAYBECK TWIN,1,Completed,2022-03-30,2022-03-30,agrees,0,1,1,0,B2018-00857=2022-03-30,Approved;Disapproved
613,1923 Parker,1,Completed,2019-01-25,2019-01-25,agrees,0,1,1,0,B2018-01059=2019-01-25,Approved;Disapproved
631,1614 Acton,1,Completed,2020-08-17,2020-08-17,agrees,0,1,1,0,B2018-01245=2020-08-17,Approved;Disapproved
471,2334 Jefferson Ave,1,Completed,2023-05-03,2023-05-03,agrees,0,1,1,0,B2018-01256=2023-05-03,Approved;Cancelled;Disapproved
