record,module,source,record_type,role,units,units_source,status_source,address,apn,filed,issued,finaled,status,status_asof,description,production
B2021-03071,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,1677 ARCH St,058-2187-019-00,2021-07-13,2021-11-16,2022-04-20,Finaled,2026-07-08,Build new pre-fabricated Accessory Dwelling Unit with a 1.860 KW PV solar panels (12 modules) on the roof. Fire Zone 2 Property.,BP_Annual Permit Report-2018-2022.xlsx
B2021-03292,Building,cpra,Addition/Alteration,new_unit,3,cpra_UnitsAdded,census,2200 DWIGHT Way,055-1830-015-00,2021-07-23,2022-12-06,,Closed Expired,2026-07-08,"Change 1st floor covered parking garage and storage to a 3 accessory dwelling unit, total area 2094sf. 
[x.REF P2022-01624]",BP_Annual Permit Report-2018-2022.xlsx
B2021-03950,Building,cpra,New,new_unit,72,cpra_UnitsAdded,census,2099 M L KING JR Way,057-2024-013-00,2021-09-02,2023-07-17,2024-05-17,Finaled,2026-07-08,New Mixed Use Building: 72 units of market rate housing and ground floor retail/commercial space.  (5) floors of Type III-A construction over (2) floors Type I ,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-05043,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,776 PAGE St,059-2325-004-00,2021-11-04,2022-06-03,2023-08-30,Finaled,2026-07-08,"New three story house, wood construction",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-05365,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,1436 Fifth St,059-2325-004-00,2021-11-29,2022-06-03,2023-09-20,Finaled,2026-07-08,"New wood construction, three story single family house",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2022-01111,Building,cpra,New,new_unit,81,cpra_UnitsAdded,census,2000 UNIVERSITY Ave,057-2025-013-00,2022-03-14,2022-12-22,2024-04-09,Finaled,2026-07-08,"Phase 2 of construction of a new 8- story mixed use building with 81 dwelling units, Ground level lobby, Commercial space ( Warm Shell), with state of Californi",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2022-03366,Building,cpra,Alteration,new_unit,2,cpra_UnitsAdded,census,131 AVENIDA Dr,060-2487-031-00,2022-07-20,2022-11-08,2023-08-15,Finaled,2026-07-08,Convert (E) garage into (N) 354 SF Junior ADU. Add barn door to separate units and add kitchenette. Garage floor and attic floor above were lowered to be aligne,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2022-03494,Building,cpra,Addition,new_unit,2,cpra_UnitsAdded,census,1515 HARMON St,052-1536-011-00,2022-07-28,2022-12-06,2025-05-13,Finaled,2026-07-08,Convert the storage into 2 ADU's.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2022-04445,Building,cpra,Alteration,ambiguous,2,cpra_UnitsAdded,census,2817 CALIFORNIA St,053-1674-016-00,2022-09-26,2022-11-09,2023-01-10,Finaled,2026-07-08,"53 Sq Ft Full Bathroom Remodel on Ground Floor. No Structural. No Changes to Walls or Openings. Replace Exiting with (N) Tub/Shower, Toilet, and Vanity. All (N)",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2022-06004,Building,cpra,Alteration,ambiguous,4,cpra_UnitsAdded,census,1841 PRINCE St,053-1601-016-00,2022-12-22,2022-12-23,2023-12-13,Finaled,2026-07-08,400 amps main service panel upgrade(320 amps cont.),BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2014-05752,Building,cpra,New,new_unit,36,cpra_UnitsAdded,census,1698 UNIVERSITY AVE,056-2004-001-00,2014-12-19,2017-06-20,2025-05-22,Finaled,2026-07-07,New 36-unit mixed use building with retail at ground level and structured parking below.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2018-05100,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,1331 ASHBY Ave,053-1623-012-01,2018-12-21,2023-04-04,,Issued (CPRA; not in census),2026-07-07,"New duplex, 3-stories (site includes 2 units) 1331 A & B  (2254 sq ft) added.",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-02225,Building,cpra,New,new_unit,45,cpra_UnitsAdded,census,2650 TELEGRAPH Ave,055-1835-009-01,2021-05-28,2023-08-02,2025-06-16,Finaled,2026-07-08,"Construction of new 5 story mixed use building with 45-dwelling units, ground level lobby",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2021-03440,Building,cpra,Addition/Alteration,ambiguous,2,cpra_UnitsAdded,census,1828 EUCLID Ave,058-2191-002-00,2021-08-03,2023-09-27,2025-05-22,Finaled,2026-07-08,"Conversion of ground floor restaurant space into 2 dwelling units, while maintaining and retaining the storefront area along Euclid avenue.  Property in Fire Zo",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2021-04232,Building,cpra,New,new_unit,57,cpra_UnitsAdded,capdetail,2902 ADELINE St,053-1598-006-00,2021-09-20,2025-02-27,,Issued,2026-09-21,Construction of new 6-story mixed-use multifamily building with 54 units and 24 car parking spaces. Demolition under B2021-05386 and B2022-00381.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2021-04893,Building,cpra,New,new_unit,163,cpra_UnitsAdded,census,1951 SHATTUCK Ave,057-2046-001-00,2021-10-27,,2024-10-24,Finaled,2026-07-08,"Phase 2:  Consists of levels 2-12 of new construction approx 179,680 GSF, 12 story residential building with 163 rental units and ground floor retail.",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-04907,Building,cpra,New,new_unit,3,cpra_UnitsAdded,capdetail,2421 FIFTH St,056-1943-020-00,2021-10-27,2024-04-18,,Issued,2026-09-21,Construction of new residential building consisting of three (3) dwelling units. Existing house on site to be demolished under a separate permit.,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-05671,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2618 COLLEGE Ave,055-1845-010-00,2021-12-16,2024-08-01,2025-07-25,Finaled,2026-07-08,Detached duplex ADU.,BP_Annual Permit Report-2025-2026-07-07.xlsx
