owner_class,owner_name,apn,apn_normalized,situs,usecode,zone_class,lot_sqft,lot_acres,bldg_sqft_taxable,imps,has_building,lat,lon
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1875-9-1,055-1875-009-01,0 CHANNING WAY BERKELEY 94720,0300,R-SMU,122137.0,2.804,202188.0,0.0,True,37.86655890,-122.25766422
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1875-40-1,055-1875-040-01,2556 HASTE ST BERKELEY 94704,0300,R-SMU,121500.0,2.789,0.0,0.0,False,37.86566558,-122.25739006
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1874-23-1,055-1874-023-01,2612 HASTE ST BERKELEY 94720,0300,R-SMU,120071.0,2.756,324989.0,0.0,True,37.86593221,-122.25522315
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1872-21-1,055-1872-021-01,COLLEGE AVE BERKELEY 94704,0300,R-SMU,117029.0,2.687,325482.0,0.0,True,37.86771350,-122.25564172
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,57-2047-4,057-2047-004-00,1900 OXFORD ST BERKELEY 94704,0300,C-DMU Buffer,115668.0,2.655,114226.0,0.0,True,37.87366479,-122.26735072
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2201-9-1,058-2201-009-01,2607 HEARST AVE BERKELEY 94720,0300,R-3H,108022.0,2.48,0.0,0.0,False,37.87568385,-122.25714022
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1879-22-3,055-1879-022-03,2436 DURANT AVE BERKELEY 94704,0300,R-SMU,106755.0,2.451,212654.0,0.0,True,37.86730746,-122.26017053
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1881-17-1,055-1881-017-01,2400 HASTE ST BERKELEY 94704,0300,R-SMU,105169.0,2.414,0.0,0.0,False,37.86535580,-122.25975797
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1886-25-1,055-1886-025-01,2214 BANCROFT WAY BERKELEY 94720,0300,R-SMU,103242.0,2.37,951.0,0.0,True,37.86753553,-122.26438691
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2200-19-1,058-2200-019-01,2521 HEARST AVE BERKELEY 94709,0300,R-3H,87120.0,2.0,0.0,0.0,False,37.87564055,-122.25924509
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1871-19-1,055-1871-019-01,2630 BANCROFT WAY BERKELEY 94704,0300,R-SMU,69192.0,1.588,102794.0,0.0,True,37.86867941,-122.25582563
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1876-9-1,055-1876-009-01,2535 CHANNING WAY BERKELEY 94704,0300,C-T,63635.0,1.461,107034.0,0.0,True,37.86749868,-122.25748275
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2191-6-1,058-2191-006-01,2451 HEARST AVE BERKELEY 94709,0300,R-4H,56593.0,1.299,0.0,0.0,False,37.87514147,-122.26160960
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,57-2032-14-1,057-2032-014-01,2150 ADDISON ST BERKELEY 94704,0300,C-DMU Core,56192.0,1.29,45656.0,0.0,True,37.87091518,-122.26668227
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,57-2034-14-3,057-2034-014-03,2199 ADDISON ST BERKELEY 94720,0300,C-DMU Core,50291.0,1.155,150887.0,0.0,True,37.87180133,-122.26665063
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2203-1-1,058-2203-001-01,LE CONTE AVE BERKELEY 94709,0300,R-1H,37704.0,0.866,0.0,0.0,False,37.87711801,-122.25551233
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1888-8-1,055-1888-008-01,HASTE ST BERKELEY 94704,0300,R-SMU,26000.0,0.597,0.0,0.0,False,37.86573081,-122.26401522
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1891-14-1,055-1891-014-01,2401 SHATTUCK AVE BERKELEY 94704,0300,C-DMU Buffer,21800.0,0.5,71614.0,0.0,True,37.86552707,-122.26691981
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1886-17-3,055-1886-017-03,2200 BANCROFT WAY BERKELEY 94720,0300,R-SMU,19760.0,0.454,13930.0,0.0,True,37.86736995,-122.26554182
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2182-11,058-2182-011-00,1750 ARCH ST BERKELEY 94709,0300,R-1H,19635.0,0.451,3885.0,0.0,True,37.87654848,-122.26462670
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1869-13-1,055-1869-013-01,2333 COLLEGE AVE BERKELEY 94704,0300,R-3H,19592.0,0.45,47694.0,0.0,True,37.86803742,-122.25383367
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,57-2029-7-2,057-2029-007-02,2113 BANCROFT WAY BERKELEY 94720,0300,C-DMU Outer Core,19500.0,0.448,45604.0,0.0,True,37.86802323,-122.26699015
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,57-2034-12,057-2034-012-00,2154 UNIVERSITY AVE BERKELEY 94704,0300,C-DMU Core,13820.0,0.317,16523.0,0.0,True,37.87191047,-122.26698998
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1880-21-3,055-1880-021-03,HASTE ST BERKELEY 94704,0300,C-T,11946.0,0.274,58355.0,0.0,True,37.86650053,-122.25946911
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2202-1,058-2202-001-00,LA LOMA AVE BERKELEY 94709,0300,R-3H,11135.0,0.256,0.0,0.0,False,37.87621057,-122.25666645
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1881-7,055-1881-007-00,2427 DWIGHT WAY BERKELEY 94704,0300,R-SMU,10409.0,0.239,7650.0,0.0,True,37.86523106,-122.25946014
