project_id,address_display,address_normalized,latitude,longitude,data_source,net_units,status,has_official_permit,has_media_coverage,news_urls,primary_news_source,gellerman_original_name,gellerman_match_score
45,2200 FIFTH St,2200 FIFTH ST,37.86468278837405,-122.29819481731433,official_permit,8.0,Corrections Pending Applicant,True,False,,,,
46,1745 CEDAR St,1745 CEDAR ST,37.877760424522904,-122.27612903096824,official_permit,6.0,Under Review,True,False,,,,
47,1850 BERRYMAN St,1850 BERRYMAN ST,37.883008,-122.274763,official_permit,6.0,Incomplete Pending Applicant,True,False,,,,
48,2317 CHANNING Way,2317 CHANNING WAY,37.866685538738,-122.26258050690248,both,5.0,Under Review,True,True,https://sfyimby.com/2023/08/preliminary-application-filed-for-apartments-at-2320-channing-way-berkeley.html,SFYimby,,85.0
49,1618 SIXTH St,1618 SIXTH ST,37.8733361034196,-122.2997586207306,official_permit,4.0,Under Review,True,False,,,,
50,2420 ASHBY Ave,2420 ASHBY AVE,37.85598198929716,-122.25863499029197,both,4.0,Under Review,True,True,https://www.berkeleyside.org/2022/03/13/south-berkeley-black-churches-are-building-affordable-housing-on-their-properties,Berkeleyside,,86.0
51,2942 COLLEGE Ave,2942 COLLEGE AVE,37.857443359739634,-122.25346690790224,official_permit,4.0,In Review,True,False,,,,
52,2437 WARRING St,2437 WARRING ST,37.86659549787281,-122.2502747589132,official_permit,4.0,Under Review,True,False,,,,
53,2641 COLLEGE Ave,2641 COLLEGE AVE,37.86248777798028,-122.2532388705674,official_permit,3.0,Under Review,True,False,,,,
54,2205 BLAKE St,2205 BLAKE ST,37.86364315221662,-122.264826999392,both,3.0,Under Review,True,True,https://www.berkeleyside.org/2015/11/19/berkeley-zab-round-up-the-roost-approved-on-blake-center-street-hotel-previewed-kennedy-project-put-off;https://sfyimby.com/2020/12/new-renderings-revealed-for-2015-blake-street-in-downtown-berkeley.html,Berkeleyside,,92.0
55,2221 FIFTH St,2221 FIFTH ST,37.864346138994605,-122.29734734038708,official_permit,3.0,In Review,True,False,,,,
56,1650 FIFTH St,1650 FIFTH ST,37.87224667983113,-122.30062613188532,official_permit,3.0,Under Review,True,False,,,,
57,3101 SACRAMENTO St,3101 SACRAMENTO ST,37.85135359536251,-122.2782664913384,official_permit,3.0,Corrections Pending Applicant,True,False,,,,
58,1449 CORNELL Ave,1449 CORNELL AVE,37.87758018681299,-122.29188859371416,official_permit,3.0,Under Review,True,False,,,,
59,1514 WALNUT St,1514 WALNUT ST,37.87969317878099,-122.2684464140796,official_permit,3.0,Under Review,True,False,,,,
60,1464 SIXTH St,1464 SIXTH ST,37.87534021260611,-122.30040498822191,official_permit,3.0,Under Review,True,False,,,,
61,2812 EIGHTH St,2812 EIGHTH ST,37.854976338255966,-122.29152998984598,official_permit,3.0,Under Review,True,False,,,,
62,2201 BLAKE St,2201 BLAKE ST,37.86364315221662,-122.264826999392,both,3.0,Approved,True,True,https://sfyimby.com/2024/06/demolition-proposed-at-2018-blake-street-in-south-berkeley.html;https://sfyimby.com/2023/08/new-renderings-for-2018-blake-street-south-berkeley.html;https://sfyimby.com/2024/01/preliminary-application-filed-for-2018-blake-street-in-south-berkeley.html,SFYimby,,92.0
63,1716 SEVENTH St,1716 SEVENTH ST,37.87183254077922,-122.2981143120952,official_permit,2.0,Under Review,True,False,,,,
64,1515 DERBY St,1515 DERBY ST,37.85906158251609,-122.2795147651044,official_permit,2.0,Under Review,True,False,,,,
65,1922 FRANCISCO St,1922 FRANCISCO ST,37.874979870264376,-122.27222721380303,official_permit,2.0,Under Review,True,False,,,,
66,2204 DWIGHT Way,2204 DWIGHT WAY,37.864014244633104,-122.26486524336856,both,2.0,Pending Final Action,True,False,,,,90.0
67,1419 GRANT St,1419 GRANT ST,37.88042822672098,-122.27593470111776,official_permit,2.0,Pending,True,False,,,,
68,1236 DWIGHT Way,1236 DWIGHT WAY,37.861371781292114,-122.2857268632291,official_permit,2.0,Pending,True,False,,,,
69,2808 NINTH St,2808 NINTH ST,37.85528776387431,-122.29048156428124,official_permit,2.0,Under Review,True,False,,,,
70,3001 BENVENUE Ave,3001 BENVENUE AVE,37.85584052170821,-122.25370441887011,official_permit,1.0,Pending Final Action,True,False,,,,
71,40 HILL Rd,40 HILL RD,37.88932954629859,-122.25132555603028,official_permit,1.0,Incomplete Pending Applicant,True,False,,,,
72,5 W PARNASSUS Ct,5 W PARNASSUS CT,37.88108918027722,-122.25404589545909,official_permit,1.0,Under Review,True,False,,,,
73,0 LE ROY Ave,0 LE ROY AVE,37.8785,-122.265,official_permit,1.0,Under Review,True,False,,,,
74,2328 GRANT St,2328 GRANT ST,37.86581937973142,-122.27502629326142,official_permit,1.0,Under Review,True,False,,,,
75,1939 MARIN Ave,1939 MARIN AVE,37.88963351679258,-122.27483822017692,official_permit,1.0,Under Review,True,False,,,,
76,1731 ADDISON St,1731 ADDISON ST,37.87044602079257,-122.27604574097172,both,1.0,Corrections Pending Applicant,True,False,,,,87.0
77,1420 FIFTH St,1420 FIFTH ST,37.87654884158006,-122.3019522159246,official_permit,1.0,Pending Final Action,True,False,,,,
78,1139 KEELER Ave,1139 KEELER AVE,37.889705788142784,-122.25757558461952,official_permit,1.0,Under Review,True,False,,,,
79,1111 ALLSTON Way,1111 ALLSTON WAY,37.866741329596245,-122.29058415098838,official_permit,1.0,Under Review,True,False,,,,
80,659 GRIZZLY PEAK Blvd,659 GRIZZLY PEAK BLVD,37.90012505764361,-122.26546218375634,official_permit,1.0,Incomplete Pending Applicant,True,False,,,,
81,1522 JOSEPHINE St,1522 JOSEPHINE ST,37.878537408137376,-122.27524659789832,official_permit,0.0,Corrections Pending Applicant,True,False,,,,
82,3035 COLBY St,3035 COLBY ST,37.85409909022599,-122.25726526879114,official_permit,0.0,Approved,True,False,,,,
83,1136 KEITH Ave,1136 KEITH AVE,37.88848998632346,-122.26052122062327,official_permit,0.0,Under Review,True,False,,,,
84,2705 BENVENUE Ave,2705 BENVENUE AVE,37.861451091698434,-122.25443995223824,official_permit,-1.0,Under Review,True,False,,,,
85,1730 PARKER St,1730 PARKER ST,37.86089288300704,-122.2746354946718,official_permit,0.0,Incomplete Pending Applicant,True,False,,,,
86,2740 SHASTA Rd,2740 SHASTA RD,37.886352334684865,-122.25828861429146,official_permit,0.0,Incomplete Pending Applicant,True,False,,,,
87,1109 COWPER St,1109 COWPER ST,37.86759590004899,-122.29101743270444,official_permit,0.0,In Review,True,False,,,,
88,705 ARLINGTON Ave,705 ARLINGTON AV,37.89747706176223,-122.27563396222864,official_permit,0.0,In Review,True,False,,,,
89,2027 SEVENTH St,2027 SEVENTH ST,37.86721535977573,-122.29587245131933,official_permit,0.0,Corrections Pending Applicant,True,False,,,,
90,576 SAN LUIS Rd,576 SAN LUIS RD,37.9000098376195,-122.2757844758528,official_permit,0.0,Incomplete Pending Applicant,True,False,,,,
91,2009 ADDISON St,2009 ADDISON ST,37.87120672562489,-122.27002173569448,both,0.0,Resubmittal Pending Review,True,True,https://sfyimby.com/2022/01/final-design-review-for-berkeley-commons-at-600-addison-street.html;https://sfyimby.com/2021/03/design-review-today-for-600-addison-street-southwest-berkeley.html;https://www.berkeleyside.org/2019/03/15/after-40-years-the-jones-family-is-selling-its-8-7-acre-west-berkeley-property;https://www.berkeleyside.org/2020/09/10/proposed-development-near-aquatic-park-could-bring-in-1600-workers;https://dailycal.org/2021/06/10/berkeley-commons-construction-to-begin-in-september;https://www.berkeleyside.org/2024/11/25/gigantic-new-life-sciences-campus-in-aquatic-park-is-sitting-empty;https://www.berkeleyside.org/2021/06/03/berkeleys-aquatic-park-will-soon-be-home-to-a-major-research-and-development-center,Berkeleyside,,90.0
92,3036 REGENT St,3036 REGENT ST,37.85419413122943,-122.25654257324676,official_permit,0.0,Corrections Pending Applicant,True,False,,,,
93,1312 ADDISON St,1312 ADDISON ST,37.86691212647459,-122.2841528783074,official_permit,0.0,Corrections Pending Applicant,True,False,,,,
94,2145 GRANT St,2145 GRANT ST,37.86891842367285,-122.27466130955813,official_permit,0.0,Pending Final Action,True,False,,,,
