apn,recordid,busdesc,b1_per_sub_type,dba,naics,tax_code,employee_num,bus_own_type,b1_business_name,b1_address1,b1_city,b1_state,b1_zip,b1_contact_type,b1_full_address,b1_situs_city,b1_situs_state,b1_situs_zip
054 181002100,BL-024864,GRAPHIC DESIGN,Professional SemiProfessional,STUDIO STAR,541430 - Graphic Design Services,P,0,Sole Ownership,STUDIO STAR,2637 MCGEE AVE,BERKELEY,CA,94703,Business Owner,2637 MCGEE AVE,BERKELEY,CA,94703
058 214001201,BL-018204,FLORIST,Retail Trade,INNER BLOOM,453110 - Florists,R,0,Sole Ownership,INNER BLOOM,1345 FRANCISCO ST,BERKELEY,CA,947021410,Business Owner,1345 FRANCISCO St,BERKELEY,CA,94702
056 198900700,BL-016090,RENTAL PROPERTY,Rental of Real Property,350 HANOVER AVE LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,350 HANOVER AVE LLC,2941 TELEGRAPH AVE,BERKELEY,CA,94705-2017,Business Owner,2110 BONAR St,BERKELEY,CA,94702
060 245303500,BL-008659,SELLING TRAVLE,Business Personal Repair Svs,TIYUL INC,561510 - Travel Agencies,B,1,Corporation,TIYUL INC,1442A WALNUT ST # 475,BERKELEY,CA,947091405,Business Owner,1348 HENRY St,BERKELEY,CA,94709
ZZZZZZZZZZZZZ,BL-051821,WEDDING PLANNER,Business Personal Repair Svs,COCOBE'S,812990 - All Other Personal Services,B,0,Sole Ownership,COCOBE'S,"2035 9TH ST., #C",BERKELEY,CA,94710-2140,Business Owner,0 VARIOUS,BERKELEY,CA,94704
054 177800101,BL-010518,ARCHITECURAL ENGINEERING,Professional SemiProfessional,PRODUCT 13,541490 - Other Specialized Design Services,P,1,Sole Ownership,PRODUCT 13,2547 8TH ST STE 33B,BERKELEY,CA,947102592,Business Owner,2547 EIGHTH St,BERKELEY,CA,94710
055 188000100,BL-019506,HAIR SALON,Business Personal Repair Svs,EDGE HAIR SALON,812112 - Beauty Salons,B,5,LLC,EDGE HAIR SALON,2492 CHANNING WAY,BERKELEY,CA,947042210,Business Owner,2492 CHANNING Way,BERKELEY,CA,94704
060 235401503,BL-002569,CREATION & SALE OF ART,Retail Trade,CHRISTINE MEURIS STUDIO,453920 - Art Dealers,R,0,Sole Ownership,CHRISTINE MEURIS STUDIO,1808 GRANT ST,BERKELEY,CA,94703-1319,Business Owner,1207 TENTH St,BERKELEY,CA,94710
057 209800500,BL-034272,LAW OFFICE,Professional SemiProfessional,LAW OFFICE OF ANTHONY SPERBER,541110 - Offices of Lawyers,P,2,Sole Ownership,LAW OFFICE OF ANTHONY SPERBER,1808 SIXTH ST,BERKELEY,CA,94710,Business Owner,1808 SIXTH ST,BERKELEY,CA,94710
053 168500800,BL-032306,RES. RENTAL - 4 UNITS,Rental of Real Property,GITTER LORI,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,GITTER LORI,2151 OREGON ST,BERKELEY,CA,947051004,Business Owner,2151 OREGON ST,BERKELEY,CA,94705
057 208800700,BL-043202,ART & TATTOO STUDIO,Business Personal Repair Svs,SACRED ROSE,812199 - Other Personal Care Services,B,0,LLC,SACRED ROSE,1212 ORDWAY ST,BERKELEY,CA,94706,Business Owner,1960 SAN PABLO Ave,BERKELEY,CA,94702
057 209700102,BL-010063,CHILDREN'S PROG,Non Profit Organizations,PROJECT PLAE,624410 - Child Day Care Services,N,0,Corporation,PROJECT PLAE,800 HEARST AVE,BERKELEY,CA,94710-2018,Business Owner,800 HEARST AVE,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-019305,TELECOM SERVCIES,Business Personal Repair Svs,COGENT COMMUNICATIONS INC,813910 - Business Associations,B,0,Corporation,COGENT COMMUNICATIONS INC,2450 N ST NW,WASHINGTON,DC,20037-3052,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-022117,NATURAL AREAS MGMT CONSULT,Professional SemiProfessional,ECO-MANAGEMENT INC,541620 - Environmental Consulting Services,P,1,Corporation,ECO-MANAGEMENT INC,PO BOX 660,PETALUMA,CA,94953,Business Owner,0 VARIOUS,BERKELEY,CA,94704
052 153200101,BL-021936,CAFE,Retail Trade,AZAL CAFE,722513 - Limited-Service Restaurants,R,5,Sole Ownership,AZAL CAFE,3300 ADELINE ST,BERKELEY,CA,94703-2709,Business Owner,3300 ADELINE St,BERKELEY,CA,94703
