OBJECTID,APN,ST_NUM,FEANME,FEATYP,DIRPRE,DIRSUF,MUN,UNIT,UNIT_TYP,SRC_DATE,REV_DATE,SPADID,ADDRESS,CITY,ZIPCODE,ADDRESSLOOKUP,X_CORD,Y_CORD,longitude,latitude
480795,056 192002300,2449.0,BONAR,ST,,,BE,,,1138924800000,1679519245000,101284862,2449 Bonar St,Berkeley,94702,2449 Bonar St Berkeley CA 94702,-13612779.6056,4559924.9395,-122.2856797906099,37.861826936247
480803,052 158500100,3042.0,WHEELER,ST,,,BE,,,1138924800000,1679519245000,101284867,3042 Wheeler St,Berkeley,94705,3042 Wheeler St Berkeley CA 94705,-13610411.1102,4558799.0536,-122.26440323442804,37.853841565692974
480810,062 287202200,1579.0,SOLANO,AV,,,BE,A,,1138924800000,1679519245000,101570481,1579 Solano Ave A,Berkeley,94707,1579 Solano Ave A Berkeley CA 94707,-13612705.3932,4564076.7726,-122.285013129278,37.89126642634183
480814,053 169001700,2837.0,ELLSWORTH,ST,,,BE,,,1138924800000,1679519245000,101284874,2837 Ellsworth St,Berkeley,94705,2837 Ellsworth St Berkeley CA 94705,-13610066.2294,4559378.9715,-122.26130511748964,37.857954754213274
480825,058 217500800,2041.0,FRANCISCO,ST,,,BE,8,,1138924800000,1679519245000,101284880,2041 Francisco St 8,Berkeley,94709,2041 Francisco St 8 Berkeley CA 94709,-13610988.7967,4561925.3482,-122.26959268055184,37.876012744962715
480837,062 290203900,1652.0,VISALIA,AV,,,BE,,,1138924800000,1679519245000,101570492,1652 Visalia Ave,Berkeley,94707,1652 Visalia Ave Berkeley CA 94707,-13612615.4076,4565138.9551,-122.28420477487968,37.898796175884385
480839,057 207200900,1953.0,ACTON,ST,,,BE,,,1138924800000,1679519245000,101284889,1953 Acton St,Berkeley,94702,1953 Acton St Berkeley CA 94702,-13612607.8661,4561178.3714,-122.28413702843255,37.8707159119492
480847,058 213400501,1214.0,FRANCISCO,ST,,,BE,4,,1138924800000,1679519245000,101284894,1214 Francisco St 4,Berkeley,94702,1214 Francisco St 4 Berkeley CA 94702,-13613176.2273,4561477.4885,-122.28924270396116,37.87283700524123
480848,057 205003101,2050.0,DELAWARE,ST,,,BE,303,,1138924800000,1679519245000,101284895,2050 Delaware St 303,Berkeley,94709,2050 Delaware St 303 Berkeley CA 94709,-13610928.0355,4561696.7832,-122.26904685340544,37.87439202470472
480850,062 288503700,1874.0,CAPISTRANO,AV,,,BE,,,1138924800000,1679519245000,101570498,1874 Capistrano Ave,Berkeley,94707,1874 Capistrano Ave Berkeley CA 94707,-13611991.6191,4564564.3489,-122.2786011874436,37.89472292181017
480856,060 243401300,1339.0,SACRAMENTO,ST,,,BE,,,1138924800000,1679519245000,101284898,1339 Sacramento St,Berkeley,94702,1339 Sacramento St Berkeley CA 94702,-13612467.6196,4562571.308,-122.2828771726876,37.88059295658028
480888,053 162802800,1212.0,BURNETT,ST,,,BE,,,1138924800000,1682037523000,101570519,1212 Burnett St,Berkeley,94702,1212 Burnett St Berkeley CA 94702,-13612836.3405,4558664.6272,-122.28618944888808,37.85288808568038
