full_address,street_number,street_name,street_type,city,zipcode,longitude,latitude,address_normalized
,,,,Berkeley,94709,-13610760.4901,4562150.971000001,
,,,,Berkeley,94703,-13611723.6177,4559966.201200001,
,,,,Berkeley,94707,-13611769.2286,4563542.030699998,
,,,,Berkeley,94703,-13612213.79,4560295.140500002,
,,,,Berkeley,94702,-13612279.380199999,4559869.304200001,
,,,,Berkeley,94708,-13609843.5021,4562856.0766,
,,,,Berkeley,94702,-13612376.4734,4560276.035700001,
,,,,Berkeley,94709,-13610705.3847,4562117.795999996,
,,,,Berkeley,94704,-13609494.317699999,4560277.499200001,
,,,,Berkeley,94704,-13610602.002999999,4561061.1721,
,,,,Berkeley,94703,-13610659.7546,4558614.2315,
,,,,Berkeley,94704,-13609395.2051,4559994.326099999,
,,,,Berkeley,94709,-13610646.2526,4562537.905000001,
,,,,Berkeley,94705,-13608257.4857,4558615.204000004,
,,,,Berkeley,94703,-13612123.082899999,4562032.693899997,
,,,,Berkeley,94709,-13611477.195500001,4562158.8374999985,
,,,,Berkeley,94703,-13611827.8055,4561044.781499997,
,,,,Berkeley,94702,-13613502.635499999,4562446.6708,
,,,,Berkeley,94703,-13612205.3861,4560147.008400001,
,,,,Berkeley,94704,-13610711.1811,4561113.032200001,
,,,,Berkeley,94705,-13609141.6819,4558731.516900003,
,,,,Berkeley,94705,-13610614.5693,4559071.932700001,
,,,,Berkeley,94707,-13611538.0192,4563923.752599999,
,,,,Berkeley,94703,-13610851.9527,4559377.444899999,
,,,,Berkeley,94704,-13610089.6678,4560372.149099998,
,,,,Berkeley,94709,-13610463.9728,4561853.831500001,
,,,,Berkeley,94704,-13609810.3358,4560276.120099999,
,,,,Berkeley,94704,-13608888.492600001,4560376.0458,
,,,,Berkeley,94702,-13612390.98,4558402.361699998,
,,,,Berkeley,94708,-13609360.3462,4563596.899899997,
,,,,Berkeley,94708,-13609289.583700001,4562887.379500002,
,,,,Berkeley,94704,-13609964.6514,4560322.869099997,
,,,,Berkeley,94709,-13609871.2854,4561979.745200001,
,,,,Berkeley,94704,-13609989.3922,4559934.8178,
,,,,Berkeley,94703,-13611820.057500001,4558727.958400004,
,,,,Berkeley,94707,-13612069.945500001,4564946.361900002,
,,,,Berkeley,94710,-13614293.6981,4561131.615900002,
,,,,Berkeley,94709,-13611063.409400001,4561946.1263,
,,,,Berkeley,94709,-13610906.4912,4562410.863899998,
,,,,Berkeley,94710,-13613648.310800001,4560872.670500003,
,,,,Berkeley,94704,-13608944.8817,4560820.043700002,
,,,,Berkeley,94704,-13610639.4618,4559893.830600001,
,,,,Berkeley,94710,-13613965.547899999,4560871.8565,
,,,,Berkeley,94702,-13612823.203200001,4558667.1061,
,,,,Berkeley,94708,-13610860.5668,4564721.8505000025,
,,,,Berkeley,94709,-13610325.761500001,4562280.471600004,
,,,,Berkeley,94704,-13610043.427299999,4560173.974699996,
,,,,Berkeley,94704,-13611176.3485,4561486.211900003,
,,,,Berkeley,94704,-13609783.9564,4560415.954800002,
,,,,Berkeley,94706,-13613484.5613,4562768.334600002,
,,,,Berkeley,94704,-13610746.5,4560906.856200002,
,,,,Berkeley,94702,-13612663.706799999,4559443.1338,
,,,,Berkeley,94703,-13612204.163800001,4560133.823399998,
,,,,Berkeley,94705,-13608996.7242,4559845.2663,
,,,,Berkeley,94704,-13609151.841699999,4560645.137100004,
,,,,Berkeley,94710,-13615799.1778,4560553.6765,
,,,,Berkeley,94704,-13610885.9254,4560371.808499999,
,,,,Berkeley,94707,-13611729.363699999,4563831.551700003,
,,,,Berkeley,94704,-13609413.4471,4560227.048699997,
,,,,Berkeley,94703,-13610963.507,4557896.444899999,
,,,,Berkeley,94702,-13612585.1622,4558586.323100001,
,,,,Berkeley,94705,-13607666.935600001,4559076.503300004,
,,,,Berkeley,94704,-13610596.4496,4560083.287600003,
,,,,Berkeley,94704,-13610954.770100001,4560538.808899999,
,,,,Berkeley,94618,-13609142.7573,4558451.459899999,
,,,,Berkeley,94702,-13612342.4607,4559372.393799998,
,,,,Berkeley,94708,-13610418.4146,4564524.701499999,
,,,,Berkeley,94703,-13611939.869800001,4559022.249899998,
,,,,Berkeley,94709,-13611049.0519,4562438.205600001,
,,,,Berkeley,94705,-13609206.3457,4559504.787699997,
,,,,Berkeley,94704,-13610001.9065,4560052.127800003,
,,,,Berkeley,94709,-13610488.046,4561934.169699997,
,,,,Berkeley,94703,-13611953.497499999,4558825.561999999,
,,,,Berkeley,94705,-13607709.5883,4558823.450800002,
,,,,Berkeley,94704,-13610970.5059,4560770.696199998,
,,,,Berkeley,94703,-13611874.5695,4560193.443700001,
,,,,Berkeley,94703,-13611693.4647,4560156.418499999,
,,,,Berkeley,94705,-13609516.2027,4558770.813600004,
,,,,Berkeley,94703,-13611827.6918,4561691.2678999975,
,,,,Berkeley,94709,-13610757.1623,4562112.635899998,
,,,,Berkeley,94703,-13611204.6296,4558986.455300003,
,,,,Berkeley,94704,-13610739.3463,4561221.990199998,
,,,,Berkeley,94705,-13609193.683899999,4559306.868299998,
,,,,Berkeley,94709,-13610344.9905,4562277.2722999975,
,,,,Berkeley,94702,-13612758.8768,4560840.186499998,
,,,,Berkeley,94702,-13612746.436900001,4559988.997100003,
,,,,Berkeley,94705,-13608505.9849,4559847.5057,
,,,,Berkeley,94707,-13611968.7984,4563333.826899998,
,,,,Berkeley,94705,-13609850.0111,4559038.937200002,
,,,,Berkeley,94703,-13611939.869800001,4559022.249899998,
,,,,Berkeley,94703,-13611497.623300001,4560258.071699999,
,,,,Berkeley,94704,-13609098.585099999,4560654.154600002,
,,,,Berkeley,94705,-13610096.0339,4558998.457699999,
,,,,Berkeley,94707,-13611789.1842,4564700.499300003,
,,,,Berkeley,94709,-13610834.1359,4561672.2412,
,,,,Berkeley,94703,-13611909.3116,4562463.108199999,
,,,,Berkeley,94703,-13611363.532,4557863.429700002,
,,,,Berkeley,94704,-13610812.7766,4560006.776900001,
,,,,Berkeley,94702,-13612357.8818,4558227.728799999,
,,,,Berkeley,94703,-13611939.869800001,4559022.249899998,
,,,,Berkeley,94703,-13611661.275600001,4559335.596600004,
,,,,Berkeley,94702,-13612193.9583,4559442.385399997,
,,,,Berkeley,94704,-13609657.0966,4560888.574000001,
,,,,Berkeley,94704,-13608945.0167,4560946.394900002,
,,,,Berkeley,94704,-13610164.7829,4559981.227899998,
,,,,Berkeley,94703,-13611880.8959,4560889.839299999,
,,,,Berkeley,94702,-13613543.0998,4562606.553800002,
,,,,Berkeley,94703,-13611939.869800001,4559022.249899998,
,,,,Berkeley,94704,-13609229.2139,4560642.236000001,
,,,,Berkeley,94704,-13610089.6678,4560372.149099998,
,,,,Berkeley,94703,-13611817.6511,4559095.363300003,
,,,,Berkeley,94709,-13610728.378899999,4563187.131099999,
,,,,Berkeley,94705,-13609500.287999999,4559719.368900001,
,,,,Berkeley,94704,-13610608.4904,4561114.071199998,
,,,,Berkeley,94703,-13611595.8895,4558424.067900002,
,,,,Berkeley,94710,-13614082.0128,4560361.367399998,
,,,,Berkeley,94703,-13612403.0228,4562580.659000002,
,,,,Berkeley,94709,-13611315.2165,4562575.0726,
,,,,Berkeley,94705,-13607131.178,4559297.440399997,
,,,,Berkeley,94704,-13610698.1004,4560456.8508,
,,,,Berkeley,94704,-13609151.841699999,4560645.137100004,
,,,,Berkeley,94704,-13610381.1271,4560247.175499998,
,,,,Berkeley,94704,-13610591.7927,4560663.079400003,
,,,,Berkeley,94702,-13613322.5511,4560765.034100004,
,,,,Berkeley,94703,-13611079.298799999,4559002.029200003,
,,,,Berkeley,94703,-13611413.402800001,4561461.608199999,
,,,,Berkeley,94702,-13613347.8435,4560741.538599998,
,,,,Berkeley,94705,-13610223.322,4558665.967299998,
,,,,Berkeley,94707,-13612252.7272,4564048.2080999985,
,,,,Berkeley,94704,-13610329.8388,4560513.953199998,
,,,,Berkeley,94704,-13610636.4219,4561055.769299999,
,,,,Berkeley,94704,-13610323.4582,4560483.089599997,
,,,,Berkeley,94703,-13612197.6089,4561375.243100002,
,,,,Berkeley,94703,-13611449.946899999,4558407.840499997,
,,,,Berkeley,94704,-13610189.703200001,4560132.7168999985,
,,,,Berkeley,94709,-13611200.530000001,4561536.119599998,
,,,,Berkeley,94704,-13609314.3913,4560070.192699999,
,,,,Berkeley,94709,-13610550.1481,4563188.8510000035,
