Row,Address,address_normalized,APN,Owner,Num_Permits,Permit_Numbers,Selected_Permit,old_units,new_units,net_unit_change,permit_year,Description,Record_Status,Selection_Method,Cumulative_Units
48,2326 DURANT Ave,2326 DURANT AVE,,,1,PLN2024-0023,PLN2024-0023,0.0,70.0,70.0,2024.0,"Pre App requesting feedback on a project proposing a six-story, 70 unit development consisting of 100% affordable housing to low income households (80% AMI). Applicant would like to discuss the project description, applicable zoning requirements, and the use of state density bonus with associated waivers and incentives/concessions, applicability of state streamlined housing laws to entitle the project, and discuss the associated processes.",Pending,single_permit,2944.0
49,2328 GRANT St,2328 GRANT ST,,,1,PLN2024-0062,PLN2024-0062,0.0,1.0,1.0,2024.0,"Payment of the City Arborist fees for the Building Permit B2024-01452 to install an 800 SF, HUD-Approved Manufactured Accessory Dwelling Unit (ADU) on a permanent foundation.",Under Review,single_permit,2945.0
50,2330 DURANT Ave,2330 DURANT AVE,,,3,"PLN2025-0038, PLN2025-0053, PLN2025-0100",PLN2025-0038,,68.0,68.0,2025.0,"Removal of all of existing structures and new construction of a 100% affordable 65,585 sq. ft. 6-story housing development with 68 dwelling units using a state of California Density Bonus (per SB 330 provisions) and no parking.",Under Review,max_units,3013.0
51,2372 ELLSWORTH St,2372 ELLSWORTH ST,,,1,PLN2024-0054,PLN2024-0054,0.0,63.0,63.0,2024.0,"SB-330 Project: Demolition of existing building to construct a seven-story, 49,900-square-foot residential building. A total of 63 units comprised of studios, two, three, and four bedrooms.",Under Review,single_permit,3076.0
52,2420 ASHBY Ave,2420 ASHBY AVE,,,1,ZP2024-0147,ZP2024-0147,0.0,4.0,4.0,2024.0,"Use Permit to convert a nonconforming medical office use to a multifamily residential use by reconfiguring interior space to create 4 dwelling units, establish 5 off street parking spaces, and create new window openings within a nonconforming side setback on a site located within the Environmental Management Area",Under Review,single_permit,3080.0
53,2420 SHATTUCK Ave,2420 SHATTUCK AVE,,,1,ZP2022-0149,ZP2022-0149,0.0,132.0,132.0,2022.0,Demolish two non-residential buildings and construct a 17-story mixed-use residential building with ground-floor commercial and 132 dwelling units utilizing State Density Bonus.,In Review,single_permit,3212.0
54,2425 DURANT Ave,2425 DURANT AVE,,,2,"ZP2024-0162, PLN2024-0049",ZP2024-0162,19.0,250.0,250.0,2024.0,"SB-330 PROJECT - Demolition of all existing buildings on site to construct a 20-story residential building with a total floor area of approximately 145,000 square feet. The building height will be 200-ft with zero vehicle parking spaces. The State Density Bonus Project will have 13 affordable housing units designated for VLI households and 13 for moderate-income households. All 19 existing dwelling units, when replaced, will be below-market-rate rentals.",Pending Final Action,max_units,3462.0
55,2428 MILVIA St,2428 MILVIA ST,,,1,PLN2024-0025,PLN2024-0025,6.0,14.0,8.0,2024.0,"SB-330 pre-application, the project proposes to demolish the existing buildings with six units, and to relocate landmarked ""Broad Buildings"" (from 2030-32 Bancroft) to this site, preserve exteriors and create eight new units.",Under Review,single_permit,3470.0
56,2437 WARRING St,2437 WARRING ST,,,1,PLN2025-0031,PLN2025-0031,0.0,4.0,4.0,2025.0,"Pre-application request for an interdepartmental meeting to discuss a proposed addition of square footage, stories and units to a multi-family building with an additional 2 stories using variances.",Under Review,single_permit,3474.0
57,2441 LE CONTE Ave,2441 LE CONTE AVE,,,1,ZP2023-0089,ZP2023-0089,0.0,65.0,65.0,2023.0,"Change the use from educational/religious facility to a residential hotel with 65 group living accommodations (7 Very-Low Income Units), and construct a five-story (48 feet average height) major residential addition for a total of 24,300 square feet gross floor feet, utilizing State Density Bonus",Incomplete Pending Applicant,single_permit,3539.0
58,2449 DWIGHT Way,2449 DWIGHT WAY,,,1,ZP2022-0021,ZP2022-0021,24.0,51.0,27.0,2022.0,"Renovation of existing 4-story 27,456 square foot, mixed-use building, and add 4 additional stories of residential dwelling units, resulting in an 8-story, 56,217 square foot, mixed-use building, containing 51 residential dwelling units (24 replacement units, plus 27 new dwelling units including 2 Very Low Income units), a 3,600 square-foot ground-floor commercial space.",In Review,single_permit,3566.0
59,2450 SHATTUCK Ave,2450 SHATTUCK AVE,,,1,ZP2024-0047,ZP2024-0047,0.0,94.0,94.0,2024.0,"SB-330 Mixed-Use Housing Development Project for the construction of an eight story building with 94 residential units, 2,438-sqft of retail space; 4,653-sqft of residential amenities and lobbies. Amenity roof terrace provided on top level. A total of 134,115-sqft.",Corrections Pending Applicant,single_permit,3660.0
60,2455 TELEGRAPH Ave,2455 TELEGRAPH AVE,,,1,PLN2025-0066,PLN2025-0066,0.0,68.0,68.0,2025.0,"SB 330 preliminary application to retain historic mural and front facade of the non-residential building at 2455 Telegraph Ave, while demolishing the rest of the building and the existing non-residential building at 2506 Haste St to construct a 93,000 8-story mixed used building, including a ground floor retail space and 68 units (including 7 Very Low-Income units)",Under Review,single_permit,3728.0
61,2601 SAN PABLO Ave,2601 SAN PABLO AVE,,,1,ZP2022-0171,ZP2022-0171,0.0,223.0,223.0,2022.0,"Demolish existing development (includes vacant residential) to construct an 8-story mixed-use building 223 dwelling units over a 1,940 commercial space, utilizing density bonus.",In Review,single_permit,3951.0
62,2614 TELEGRAPH Ave,2614 TELEGRAPH AVE,,,1,ZP2024-0027,ZP2024-0027,1.0,32.0,31.0,2024.0,"SB-330 Mixed-Use Housing Development Project. Use Permit to merge two parcels, demolish a single-family dwelling (2614 Telegraph) and a commercial office (2417 Carleton), and construct a 38,000 square-foot, 5-story (57-foot) mixed-use building with 32 dwelling units (3 Very Low-Income, 2 Low-Income), and 605 sq. ft. of commercial space, using a State Density Bonus.",Corrections Pending Applicant,single_permit,3982.0
