JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2021-02400,686 EUCLID Ave,063 295601900,SFD,0.0,0.0
B2006-03740,707 CRAGMONT AVE,063 295604100,SFD,1.0,0.0
B2024-01023,850 CRAGMONT Ave,063 295903200,ADU,0.0,0.0
B2023-04310,775 SPRUCE St,063 295904403,SFD,-1.0,-1.0
B2024-02650,717 SPRUCE St,063 295906000,ADU,0.0,0.0
B2024-02260,67 ROCK Ln,063 296000700,ADU,0.0,0.0
B2024-03810,901 REGAL Rd,063 296103601,ADU,-1.0,-1.0
B2023-03706,879 REGAL Rd,063 296104000,ADU,0.0,0.0
B2023-06224,859 EUCLID Ave,063 296202801,SFD,0.0,0.0
B2019-01428,690 GRIZZLY PEAK Blvd,063 296300500,ADU,1.0,0.0
B2023-02288,740 KEELER Ave,063 296301500,ADU,0.0,0.0
B2024-03208,875 HILLDALE Ave,063 296305100,ADU,0.0,0.0
B2024-03923,779 HILLDALE Ave,063 296306100,ADU,0.0,0.0
B2024-04424,743 HILLDALE Ave,063 296306800,ADU,0.0,0.0
B2024-05118,840 GRIZZLY PEAK Blvd,063 296401900,SFD,0.0,0.0
B2023-06025,860 GRIZZLY PEAK Blvd,063 296402003,SFD,0.0,0.0
B2024-05200,871 KEELER Ave,063 296404800,ADU,0.0,0.0
