key,lat,lon,type,units,source,addr,status
060-2437-028-00,37.88329002,-122.27941733,ADU,1,v4,,
054-1797-024-01,37.86209262,-122.279404,ADU,1,v4,,
063-2961-032-00,37.8945392,-122.26465308,ADU,1,v4,,
062-2874-017-00,37.89226777,-122.2853826,ADU,1,v4,,
055-1841-021-00,37.86184924,-122.25705557,ADU,1,v4,,
062-2939-004-00,37.90093418,-122.27304865,ADU,1,v4,,
057-2060-016-00,37.87203425,-122.27399124,ADU,1,v4,,
052-1517-015-00,37.84971509,-122.28251465,ADU,1,v4,,
060-2465-020-00,37.88334577,-122.26397722,ADU,1,v4,,
060-2489-032-00,37.88366295,-122.24945016,ADU,1,v4,,
057-2060-008-00,37.87182099,-122.27502789,ADU,1,v4,,
058-2164-010-00,37.87693998,-122.27615422,ADU,1,v4,,
062-2868-009-00,37.89554913,-122.28582209,ADU,1,v4,,
061-2573-018-00,37.88818124,-122.27577563,ADU,1,v4,,
054-1786-001-00,37.85845609,-122.28688734,ADU,1,v4,,
054-1742-067-00,37.85643943,-122.28657651,ADU,1,v4,,
061-2629-005-00,37.88627945,-122.28151128,ADU,1,v4,,
060-2489-023-00,37.88269723,-122.24974192,ADU,1,v4,,
056-2008-035-00,37.86763729,-122.27788078,ADU,1,v4,,
060-2415-017-00,37.88176868,-122.28864225,ADU,1,v4,,
052-1580-013-00,37.85623168,-122.26163417,ADU,1,v4,,
060-2423-036-00,37.87925315,-122.28559692,ADU,1,v4,,
055-1827-005-00,37.86111852,-122.2628975,ADU,1,v4,,
060-2436-009-00,37.88366204,-122.27977317,ADU,1,v4,,
063-2958-015-00,37.89852361,-122.26962446,ADU,1,v4,,
062-2871-004-00,37.8917693,-122.2820945,ADU,1,v4,,
063-2991-001-00,37.88768773,-122.25476804,ADU,1,v4,,
060-2430-009-00,37.87986763,-122.28385974,ADU,1,v4,,
056-1919-046-00,37.86301542,-122.28153162,ADU,1,v4,,
059-2289-039-00,37.87499233,-122.2918577,ADU,1,v4,,
059-2286-039-00,37.87667556,-122.28615009,ADU,1,v4,,
055-1847-028-00,37.86503641,-122.253428,ADU,1,v4,,
062-2922-018-00,37.89886189,-122.27730035,ADU,1,v4,,
054-1802-010-00,37.85914391,-122.27891204,ADU,1,v4,,
057-2081-001-00,37.87100226,-122.2879446,ADU,1,v4,,
058-2125-008-00,37.87453961,-122.29548016,ADU,1,v4,,
061-2554-003-00,37.88744677,-122.26477198,ADU,1,v4,,
063-2951-013-00,37.9027599,-122.27007768,ADU,1,v4,,
063-2983-013-01,37.89000593,-122.25435162,ADU,1,v4,,
059-2279-003-00,37.87839592,-122.28005308,ADU,1,v4,,
062-2869-008-00,37.89397867,-122.28588969,ADU,1,v4,,
064-4242-006-00,37.85616423,-122.24300999,ADU,1,v4,,
060-2407-014-00,37.88166505,-122.29369798,ADU,1,v4,,
052-1526-004-00,37.84741023,-122.26959877,ADU,1,v4,,
053-1673-026-00,37.85603869,-122.27676793,ADU,1,v4,,
