GEOID20,pop,housing_units,ALAND20
060014234002009,131,53,19782
060014234003000,116,54,15287
060014240012003,210,103,22477
060014238001001,32,10,14764
060014238001011,3,1,6226
060014238002007,68,22,16164
060014222003005,52,29,13234
060014231003007,0,0,2160
060014222001006,70,29,12255
060014216001003,141,58,36711
060014216004002,53,18,13845
060014225003009,49,3,15594
060014225002007,1094,1,10537
060014228001013,461,93,8155
060014236023002,256,135,23389
060014232002014,28,1,1220
060014220001027,20,1,20321
060014219001007,76,38,19120
060014220002070,0,0,1063
060014220001020,25,0,19081
060014222003003,0,0,1305
060014215001004,24,8,8949
060014215003001,60,29,28826
060014220002053,4,7,19419
060014220002001,11,1,6572
060014221001014,21,11,7246
060014219002016,23,9,3622
060014215003000,48,22,22279
060014221001004,106,46,13106
060014221001020,30,14,6122
060014219004004,65,34,15531
060014219003008,0,0,1859
060014219003004,48,20,10340
060014222001024,0,0,2292
060014221002024,59,27,14709
060014219002009,0,0,1189
060014227002002,460,54,18344
060014222001014,0,0,24443
060014222001000,0,0,1071
060014223003010,381,219,18627
060014229021004,80,11,76622
060014240022008,170,93,15723
060014237001006,0,0,1660
060014217001007,93,43,19487
060014219004011,0,0,2245
060014220002008,0,0,20884
060014216002008,54,24,19935
060014212002015,39,14,12983
060014214001007,17,3,2164
060014234004005,0,0,2465
060014240011005,23,1,2827
060014240013006,0,0,1443
060019821001005,665,11,92787
060014240014006,0,0,1160
060014240013003,187,109,21108
060014240014007,0,0,1304
060014240011001,149,61,18555
060014240012001,76,29,9177
060014240013002,97,39,9140
060014240013001,81,31,9343
060014240012006,85,34,11527
060014240013000,388,59,16577
060014240014008,175,68,19650
060014240014000,28,7,12388
060014235002004,80,12,20690
060014235002005,104,48,20563
060014235001014,33,0,21329
060014235002003,21,0,19803
060014235002013,59,32,9885
060014235002014,133,64,20382
060014235003004,108,51,20213
060014234004010,164,84,18757
060014240011000,98,46,18490
060014239011011,0,0,3692
060014235002001,83,35,8551
060014235002009,117,57,25268
060014235002008,20,1,3593
060014235002010,0,0,3635
060014235002011,7,0,8130
060014235003003,84,91,5483
060014235003002,0,0,3200
060014239011001,120,68,15947
060014235003011,0,0,5598
060014239012004,0,0,1423
060014240012000,78,31,9194
060014239011008,0,0,1445
060014239011023,40,0,2751
060014240012007,90,54,6832
060014239011020,12,1,1722
060014239011017,16,4,2488
060014239012005,91,37,14714
060014239012007,92,45,15376
060014233003008,66,31,11391
060014220001065,3,5,37742
060014233001011,82,40,19709
060014233002001,108,50,20227
060014233001008,97,50,20175
060014233001010,102,54,19813
060014233002000,91,45,19942
060014233003000,91,41,16727
060014233003011,48,15,7096
060014233002008,104,46,19420
060014234002006,0,0,1384
060014234003004,0,0,1285
060014233002009,228,128,28810
060014232002011,164,77,20608
060014233002014,119,61,12048
060014233002013,52,29,7807
060014234003005,0,0,1265
060014234004004,0,0,1563
060014233003010,22,10,4641
060014240021009,99,56,19137
060014240022002,49,9,4375
060014240021001,88,44,16277
060014234004012,125,50,18115
060014240011006,163,74,17480
060014240022005,92,33,11891
060014240022014,0,0,1057
060014240022006,87,36,13236
060014240022007,56,26,13565
060014237002008,94,39,14129
060014237002006,123,52,36718
060014237002007,79,40,13548
060014238003008,238,132,50863
060014238003003,73,33,16388
060014237002012,63,21,20200
060014237002018,135,62,29593
060014238003002,47,26,11829
060014238003011,64,28,11949
060014238003009,75,31,30999
060014238002008,112,37,27010
060014238003016,35,22,8896
060014238003015,15,6,2797
060014238002004,191,72,71398
060014238002011,62,15,14345
060014237002014,27,14,15035
060014238003010,26,21,6519
060014238002000,0,0,2781
060014231004000,85,47,16076
060014230003017,0,0,3322
060014230003009,109,45,21076
060014230003010,103,43,20319
060014234001004,0,0,1432
060014234001002,135,81,19253
060014218001006,120,58,20368
060014218001001,59,18,9886
060014214002011,28,9,6840
060014217001005,7,0,17215
060014217001011,110,63,20168
060014217002008,131,63,20415
060014223001003,81,42,10280
060014223001004,92,40,10546
060014223001002,124,68,20524
060014223001008,53,24,9705
060014223001009,86,42,9902
060014223002001,116,71,16675
060014217001003,108,45,21345
060014217001012,138,61,17970
060014217002007,178,96,20485
060014217003005,177,89,20117
060014217002006,24,13,15690
060014217002004,0,0,3679
060014217003004,57,25,20358
060014217001016,94,47,17295
060014217002001,139,63,20562
060014224003001,184,96,20345
060014224003005,175,87,20751
060014224003008,174,87,19348
060014224002001,62,16,10036
060014232001013,61,27,9355
060014231001007,0,0,2370
060014222001007,83,37,11725
060014213003013,88,45,21279
