JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
Berkeley,Alameda,2025,,061-2611-013-00,948 FRESNO Ave,948 FRESNO Ave,proj285,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-01-28,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.88981811,-122.27825457,948|FRESNO,
Berkeley,Alameda,2025,,052-1526-009-00,1817 SIXTY-SECOND St,1817 SIXTY-SECOND St,proj286,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,2,2025-06-24,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+2(uncategorized total_units),37.84732257,-122.27026243,1817|SIXTYSECOND,
Berkeley,Alameda,2025,,058-2164-016-00,1619 EDITH St,1619 EDITH St,proj287,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-08-15,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.87665809,-122.27676425,1619|EDITH,
Berkeley,Alameda,2025,,056-1924-005-00,1280 BANCROFT Way,1280 BANCROFT Way,proj288,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-08-14,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.86491597,-122.28692897,1280|BANCROFT,
Berkeley,Alameda,2025,,060-2429-009-00,1228 MONTEREY Ave,1228 MONTEREY Ave,proj289,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-10-15,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.88404978,-122.28187079,1228|MONTEREY,
Berkeley,Alameda,2025,,061-2610-009-00,1016 FRESNO Ave,1016 FRESNO Ave,proj290,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-03-18,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.88812262,-122.2778679,1016|FRESNO,
Berkeley,Alameda,2025,,054-1783-020-00,2501 MABEL St,2501 MABEL St,proj291,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-07-22,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.86143569,-122.28526549,2501|MABEL,
Berkeley,Alameda,2025,,059-2285-038-00,1521 SACRAMENTO St,1521 SACRAMENTO St,proj292,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-04-14,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.87829643,-122.28246792,1521|SACRAMENTO,
Berkeley,Alameda,2025,,061-2576-007-00,1966 YOSEMITE Rd,1966 YOSEMITE Rd,proj293,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-01-24,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.89555937,-122.27646609,1966|YOSEMITE,
Berkeley,Alameda,2025,,053-1689-009-00,2327 OREGON St,2327 OREGON St,proj294,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,2,2025-02-28,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+2(uncategorized total_units),37.85874795,-122.26036065,2327|OREGON,
