permit_number,project_id,project_address,v2_source_system,url_discovery_outcome,url_discovery_capid,url_records_seen,url_related_count,in_cpra,cpra_row_count,cpra_apns,cpra_submittal_date,cpra_issuance_date,cpra_finaled_date,cpra_occ_type,cpra_work_type,cpra_units_added,cpra_address,cpra_description_first_50
B2023-04430,64,1515 DERBY St,cpra,not_found,,0,0,yes,1,054 180201400,2023-08-28,2024-07-24,2025-05-23,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,1.0,1515 DERBY St,New 553SF ADU to be within the existing footprint ...
B2025-02754,64,1515 DERBY St,cpra,not_found,,0,0,yes,1,054 180201400,2025-07-03,2025-07-03,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,1515 DERBY St,Electrical service upgrade from 100A-200A service....
B2025-00605,70,3001 BENVENUE Ave,cpra,not_found,,0,0,yes,1,052 156200100,2025-02-18,2025-02-18,2025-03-19,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,3001 BENVENUE Ave,(1) Furnace changeout in attic.
B2025-00897,71,40 HILL Rd,cpra,not_found,,0,0,yes,1,063 316100200,2025-03-05,2025-03-10,2025-05-09,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,40 HILL Rd,"Remove & replace one (1) kitchen window, same size..."
B2025-03189,71,40 HILL Rd,cpra,not_found,,0,0,yes,1,063 316100200,2025-07-30,2025-08-25,2025-09-29,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,40 HILL Rd,"Replace (2) Full Frame Windows, Nail on Fin, Repla..."
B2023-00192,79,1111 ALLSTON Way,cpra,not_found,,0,0,yes,1,056 198301100,2023-01-18,2024-03-20,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",New,1.0,1111 ALLSTON Way,Build new home at rear of lot.
B2025-01202,79,1111 ALLSTON Way,cpra,not_found,,0,0,yes,1,056 198301100,2025-03-25,2025-03-25,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,1111 ALLSTON Way,Revised - Upgrade the existing electrical panel fr...
B2025-03358,79,1111 ALLSTON Way,cpra,ok,DUB25-00000-00L7E,2,1,yes,2,056 198301100,2025-08-07,2025-08-12,2025-09-25,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,1113 ALLSTON Way,ROOF MOUNTED PHOTOVOLTAIC SYSTEM SIZE: 4.00 kW-DC/...
B2022-03783,83,1136 KEITH Ave,cpra,ok,DUB22-00000-00IPO,2,1,yes,1,063 298803800,2022-08-15,2023-01-11,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Addition/Alteration,0.0,1136 KEITH Ave,Remodel and addition to an existing residence
B2024-02569,83,1136 KEITH Ave,cpra,not_found,,0,0,yes,1,063 298803800,2024-05-23,2024-09-25,2025-09-15,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Demolition,,1136 KEITH Ave,Demolish Single Family Residence & foundation. (Se...
B2024-02570,83,1136 KEITH Ave,cpra,ok,DUB24-00000-00GXL,2,1,yes,2,063 298803800,2024-05-23,2024-09-27,2025-11-10,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",New,,1136 KEITH Ave,Building new Single Family Residence. (See demolit...
