placemark_index,name_raw,name_address,name_qualifier,matched_project_id,action,skip_reason,style_source,geometry_type_id,geometry_type_code,structure_id,structure_label,project_geometries_id,vertex_count,height_meters,confidence_code
46,1708 Harmon St · 80 units · Permits Active,1708 Harmon St,,145,import,,parcel,1,apn_parcel,,,226,11,17.5,medium
47,2680 Bancroft Way · 79 units · Entitled,2680 Bancroft Way,,34,import,,parcel,1,apn_parcel,,,227,5,28.0,medium
48,2660 Bancroft Way · 78 units · Application Submitted,2660 Bancroft Way,,21,import,,parcel,1,apn_parcel,,,228,5,28.0,medium
49,2427 San Pablo · 78 units · Entitled,2427 San Pablo,,126,import,,parcel,1,apn_parcel,,,229,7,21.3,medium
50,2955 Shattuck Ave · 74 units · In Review,2955 Shattuck Ave,,22,import,,parcel,1,apn_parcel,,,230,5,22.9,medium
51,2037 Durant Ave · 74 units · Entitled,2037 Durant Ave,,123,import,,parcel,1,apn_parcel,,,231,5,27.4,medium
52,2138 Kittredge St · 66 units · Entitled,2138 Kittredge St,,113,import,,parcel,1,apn_parcel,,,232,5,28.0,medium
53,2099 Mlk Jr Way · 72 units · Completed,2099 Mlk Jr Way,,138,import,,parcel,1,apn_parcel,,,233,5,10.5,medium
54,2550 Shattuck Ave · 72 units · Entitled,2550 Shattuck Ave,,156,import,,parcel,1,apn_parcel,,,234,5,24.5,medium
55,2326 Durant Ave · 70 units · In Review,2326 Durant Ave,,23,import,,parcel,1,apn_parcel,,,235,5,24.5,medium
56,2300 Ellsworth St · 69 units · Permits Active,2300 Ellsworth St,,147,import,,parcel,1,apn_parcel,,,236,5,24.5,medium
57,2330 Durant Ave · 68 units · In Review,2330 Durant Ave,,24,import,,parcel,1,apn_parcel,,,237,5,21.0,medium
58,2455 Telegraph Ave · 68 units · In Review,2455 Telegraph Ave,,25,import,,parcel,1,apn_parcel,,,238,5,28.0,medium
59,1752 Shattuck Ave · 68 units · Completed,1752 Shattuck Ave,,164,import,,parcel,1,apn_parcel,,,239,8,24.5,medium
60,2462 Bancroft Way · 66 units · Entitled,2462 Bancroft Way,,116,import,,parcel,1,apn_parcel,,,240,5,26.8,medium
61,2072 Addison St · 66 units · Entitled,2072 Addison St,,182,import,,parcel,1,apn_parcel,,,241,5,21.0,medium
62,2298 Durant Ave · 65 units · Decision Pending,2298 Durant Ave,,26,import,,parcel,1,apn_parcel,,,242,5,27.7,medium
63,2441 Le Conte Ave · 65 units · Application Submitted,2441 Le Conte Ave,,27,import,,parcel,1,apn_parcel,,,243,5,24.5,medium
64,3031 Adeline St · 64 units · In Review,3031 Adeline St,,166,import,,parcel,1,apn_parcel,,,244,5,24.5,medium
65,2372 Ellsworth St · 63 units · Entitled,2372 Ellsworth St,,28,import,,parcel,1,apn_parcel,,,245,5,24.5,medium
66,2001 Center St · 58 units · In Review,2001 Center St,,30,import,,parcel,1,apn_parcel,,,246,5,30.5,medium
