apn,address,name_year,assessor_year,designated,lm_type,matched
055-1851-020-00,2527 Piedmont Avenue,1894.0,1999.0,11/2/1998,SOM,True
055-1842-001-00,2503 Regent Street,1902.0,1895.0,10/2/2014,SOM,True
055-1842-030-00,2509 Regent Street,1903.0,1890.0,10/2/2014,SOM,True
055-1842-029-00,2511 Regent Street,1903.0,1900.0,10/2/2014,SOM,True
055-1842-027-00,2517 Regent Street,1901.0,1901.0,11/1/2012,SOM,True
060-2466-120-00,2211 Rose Street,1908.0,0.0,9/19/1988,SOM,True
,2108 Russell Street,1908.0,,6/20/1983,SOM,False
056-1979-020-00,2001 San Pablo Avenue,1930.0,1927.0,7/15/1985,SOM,True
059-2260-019-00,1525 Shattuck Avenue,1903.0,0.0,5/1/2000,SOM,True
,2107 Shattuck Avenue,1909.0,,1/3/2000,SOM,False
055-1822-001-00,2500 Shattuck Avenue,1923.0,1930.0,2/1/2018,SOM,True
,1448 Sixth Street,1850.0,,11/21/1988,SOM,False
,2009 Tenth Street,1939.0,,1/6/1992,SOM,False
064-4227-011-00,147 Tunnel Road,1922.0,1918.0,7/9/2001,SOM,True
,1125 ss         Str Univers 5      Avenue,1923.0,,5/5/2003,SOM,False
,2100 0      Vine St,1895.0,,3/7/2005,SOM,False
058-2179-025-00,1619 Walnut 9      Avenue,1927.0,1926.0,6/6/2019,SOM,True
,1920 0      West St,1887.0,,2/5/2001,SOM,False
,2845 5      Woolsey,1908.0,,4/3/2025,SOM,False
