project_id,address,units,status,height_stories,has_tabulation,has_plan_set,is_uc,harvest_priority
79,1111 ALLSTON Way,1,Completed,3.0,0,0,0,skip-ministerial-adu
80,659 GRIZZLY PEAK Blvd,1,In Review,3.0,0,0,0,skip-ministerial-adu
83,1136 KEITH Ave,1,Completed,3.0,0,0,0,skip-ministerial-adu
92,3036 REGENT St,1,Completed,3.0,0,0,0,skip-ministerial-adu
94,2145 GRANT St,1,Entitled,3.0,0,0,0,skip-ministerial-adu
112,1621 SACRAMENTO St,1,In Review,3.0,0,0,0,skip-ministerial-adu
163,0 PARKER St,1,Permitted,3.0,0,0,0,skip-ministerial-adu
81,1522 JOSEPHINE St,0,In Review,3.0,0,0,0,skip-ministerial-adu
82,3035 COLBY St,0,Entitled,3.0,0,0,0,skip-ministerial-adu
84,2705 BENVENUE Ave,0,Completed,3.0,0,0,0,skip-ministerial-adu
85,1730 PARKER St,0,Permitted,3.0,0,0,0,skip-ministerial-adu
86,2740 SHASTA Rd,0,In Review,3.0,0,0,0,skip-ministerial-adu
87,1109 COWPER St,0,Completed,3.0,0,0,0,skip-ministerial-adu
88,705 ARLINGTON Ave,0,Completed,3.0,0,0,0,skip-ministerial-adu
89,2027 SEVENTH St,0,In Review,3.0,0,0,0,skip-ministerial-adu
90,576 SAN LUIS Rd,0,Completed,3.0,0,0,0,skip-ministerial-adu
93,1312 ADDISON St,0,In Review,3.0,0,0,0,skip-ministerial-adu
95,2903 ADELINE St,0,In Review,3.0,0,0,0,skip-ministerial-adu
97,1507 JOSEPHINE St,0,In Review,3.0,0,0,0,skip-ministerial-adu
98,1338 SEVENTH St,0,In Review,3.0,0,0,0,skip-ministerial-adu
99,2238 SEVENTH St,0,In Review,3.0,0,0,0,skip-ministerial-adu
100,703 SANTA BARBARA Rd,0,In Review,3.0,0,0,0,skip-ministerial-adu
101,385 VERMONT Ave,0,In Review,3.0,0,0,0,skip-ministerial-adu
102,1246 ROSE St,0,Completed,3.0,0,0,0,skip-ministerial-adu
103,1512 CHANNING Way,0,In Review,3.0,0,0,0,skip-ministerial-adu
104,1475 CATHERINE Dr,0,In Review,3.0,0,0,0,skip-ministerial-adu
105,1187 SHATTUCK Ave,0,Completed,3.0,0,0,0,skip-ministerial-adu
106,2016 DELAWARE St A,0,In Review,3.0,0,0,0,skip-ministerial-adu
107,1123 BLAKE St,0,In Review,3.0,0,0,0,skip-ministerial-adu
108,830 BANCROFT Way,0,In Review,3.0,0,0,0,skip-ministerial-adu
110,2143 BLAKE St,0,In Review,3.0,0,0,0,skip-ministerial-adu
111,411 VASSAR Ave,0,Completed,3.0,0,0,0,skip-ministerial-adu
130,1048 Keith St,0,Entitled,3.0,0,1,0,skip-ministerial-adu
131,811 Cedar,0,Permitted,2.0,0,0,0,skip-ministerial-adu
132,1627 Jaynes St,0,Permitted,3.0,0,0,0,skip-ministerial-adu
