GEOID20,corridor,acres,parcels,units_per_block,headroom_mh_byright,headroom_mh_bonus,headroom_corridor_est,headroom_hillside,headroom_total
060014240022004,,2.9615579968839767,21,30,142,226,0,0,142
060014229021007,,5.210958284379583,24,192,0,0,265,0,265
060014217001009,,0.3370517403212135,0,0,0,0,0,0,0
060014231001008,,2.9613108915025093,17,22,47,75,140,0,187
060014230001003,University,1.1816579341759845,2,49,0,0,27,0,27
060014234003010,,3.48344456254263,24,41,158,254,0,0,158
060014218002000,,0.6019487092540148,10,12,63,99,3,0,66
060014222003015,,0.7655324717852782,0,0,0,0,0,0,0
060014222002000,,3.2333739164978583,26,28,178,282,0,0,178
060014231004001,,4.271957834804354,38,50,225,357,0,0,225
060014216001006,,2.731008675975111,11,10,0,0,0,0,0
060014222001019,,3.7404341592684816,35,38,242,382,0,0,242
060014215001027,,0.9852091559095881,5,6,0,0,0,0,0
060014216003014,,3.5471977509611583,18,20,0,0,0,0,0
060014225001007,,1.225395586695673,9,11,0,0,0,0,0
060014236011004,Telegraph,1.8359929843010385,11,22,0,0,98,0,98
