Record #,Address,Type,Description,Status,Date (Applied/Opened),Density Flag
B1993-04161,"2532 BENVENUE AVE, BERKELEY CA 94704",Mechanical Permit,KITCHEN STOVE UPSTAIRS FRONT (1/2),Closed Expired,04/29/1993,
B1993-03811,"2532 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Plumbing Permit,EXTERIOR ENTRY AND STAIR RESTORATION BUILDING IS STRUCTURE OF MERIT.,Closed Expired,04/07/1993,
B1993-03811-E,"2532 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Plumbing Permit,EXTERIOR ENTRY AND STAIR RESTORATION BUILDING IS STRUCTURE OF MERIT.,Closed Expired,04/07/1993,
B1993-03811-P,"2532 BENVENUE AVE, BERKELEY CA 94704",Building Electrical Plumbing Permit,EXTERIOR ENTRY AND STAIR RESTORATION BUILDING IS STRUCTURE OF MERIT.,Closed Expired,04/07/1993,
B2023-01144,"2534 BENVENUE Ave, 5, BERKELEY CA 94704",Building Permit,Add doors to create new bedroom 3. Add window in living area to meet light and air.,Closed Expired,03/14/2023,
B2023-00935,"2534 BENVENUE Ave, 6, BERKELEY CA 94704",Building Electrical Plumbing Permit,Convert kitchen into new bedroom 2. Create new kitchen in living area. Remodel bathroom. Replace 1 window with new fire rated emergency escape window and 1 window in kind.,Finaled,03/01/2023,
B2018-04024,"2534 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Response to Housing Code Violation H2018-00278 Item #7. Replacing 66 windows and 2-sliding glass doors in kind.,Finaled,10/09/2018,
B2018-02394-REV01,"2534 BENVENUE Ave, BERKELEY CA 94704",Building Revision for B2018-02394,Revision to remove electrical work from scope. No increase in valuation.,Issued,08/06/2018,
B2018-02394,"2534 BENVENUE Ave, BERKELEY CA 94704",Building Electrical Permit,"Per Notice of Violation, legalize work performed without permit. Add a non-bearing wall, new pocket doors & closet. Repair floor/wall/ceiling fire assemblies at new openings & remodel kitchen in Unit #5. Replace tub with shower in Unit #9.",Finaled,06/19/2018,ADU/unit
B2015-00041,"2534 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"**THREE (3) NEW WINDOWS IN BEDROOMS OF UNITS 3, 8, & 14 (SEE ATTACHED HOUSING REPORT #14-1210, item #3)",Finaled,01/06/2015,
B2016-02716,"2537 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Re-Roof,Finaled,06/09/2016,
B2002-00774,"2537 BENVENUE AVE, BERKELEY CA 94704",Building Permit,INSTALLATION OF MESH GRILL ON LIVING ROOM WINDOW. SUBJECT TO FIELD INSPECTION,Closed Expired,02/27/2002,
B1999-05222,"2537 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"VOLUNTART SEISMIC UPGRADE: SHEAR WALLS, TIE-DOWNS AND STEEL MOMENT FRAMES",Closed Expired,11/12/1999,
B1995-04906,"2537 BENVENUE AVE, BERKELEY CA 94704",Building Permit,INSTALL TWO STEEL MOMENT FRAMES AT EAST,Closed Expired,12/19/1995,
B2013-02623,"2539 BENVENUE AVE, BERKELEY CA 94704",Building Permit,Re-roof class A,Closed Expired,06/12/2013,
B1999-01864,"2539 BENVENUE AVE, BERKELEY CA 94704",Building Permit,REMOVE ALL IMPROVEMENTS IN BASEMENT AND RETURN TO STORAGE AREA CLOSED MARG 6/11/02,Closed Expired,04/30/1999,
