"apn","strnbr","strdirect","strname","strapart","strfract","bldsqfttaxable","lotsqft"
"058 213700500","1344",,"LINCOLN ST",,,"786","5244"
"058 213700600","1348",,"LINCOLN ST",,,"838","5244"
"058 213700700","1354",,"LINCOLN ST",,,"2278","5200"
"058 213700800","1329",,"VIRGINIA ST",,,"2860","9225"
"058 213700900","1323",,"VIRGINIA ST",,,"2860","9200"
"058 213701000","1317",,"VIRGINIA ST",,,"3380","9300"
"058 213701100","1315",,"VIRGINIA ST",,,"1491","5700"
"058 213701200","1311",,"VIRGINIA ST",,,"1177","3500"
"058 213701300","1309",,"VIRGINIA ST",,,"2028","6500"
"058 213701600","1637",,"CHESTNUT ST",,,"4969","10600"
"058 213701700","1631",,"CHESTNUT ST",,,"1550","4876"
"058 213701800","0",,"WEST ST",,,"0","6401"
"058 213701900","1301",,"VIRGINIA ST",,,"2918","5080"
"058 213702000","1655",,"CHESTNUT ST",,,"1310","3755"
"058 213702100","1301",,"VIRGINIA ST","COM",,"0","0"
"058 213800103","1314",,"CEDAR ST",,,"1441","5000"
"058 213800105","1316",,"CEDAR ST",,,"1441","4100"
"058 213800106","1335",,"LINCOLN ST",,,"1441","3400"
"058 213800200","1333",,"LINCOLN ST",,,"906","4636"
"058 213800300","1327",,"LINCOLN ST",,,"1154","4636"
"058 213800400","1321",,"LINCOLN ST",,,"1308","4636"
"058 213800500","1317",,"LINCOLN ST",,,"1994","4636"
"058 213800600","1311",,"LINCOLN ST",,,"1588","4636"
"058 213800700","1305",,"LINCOLN ST",,,"798","4636"
"058 213800800","1621",,"CHESTNUT ST",,,"967","4876"
"058 213800900","1619",,"CHESTNUT ST",,,"1418","4240"
"058 213801000","1615",,"CHESTNUT ST",,,"1012","4240"
"058 213801100","1611",,"CHESTNUT ST",,,"1380","4240"
"058 213801200","1607",,"CHESTNUT ST",,,"1132","4240"
"058 213801300","1601",,"CHESTNUT ST",,,"1320","4028"
"058 213801402","1306",,"CEDAR ST",,,"1441","5000"
"058 213801403","1308",,"CEDAR ST",,,"1441","5000"
"058 213801404","1310",,"CEDAR ST",,,"1777","5000"
"058 213801500","0",,"WEST ST",,,"0","22800"
"058 213801600","1312",,"CEDAR ST","A",,"672","2504"
"058 213801700","1312",,"CEDAR ST","B",,"672","2504"
"058 213801800","1312",,"CEDAR ST","COM",,"0","0"
"058 213900200","1330",,"CEDAR ST",,,"1357","4500"
"058 213900300","1340",,"CEDAR ST",,,"1116","4500"
"058 213900402","1610",,"FRANKLIN ST",,,"1852","6366"
"058 213900403","1350",,"CEDAR ST",,,"2376","5000"
"058 213900601","1630",,"FRANKLIN ST",,,"2323","6175"
"058 213900602","1640",,"FRANKLIN ST",,,"1786","6325"
"058 213901000","1680",,"FRANKLIN ST",,,"1149","4400"
"058 213901100","1353",,"VIRGINIA ST",,,"1984","5100"
"058 213901200","2",,"VIRGINIA GARDENS",,,"2027","4000"
"058 213901300","4",,"VIRGINIA GARDENS",,,"1282","4000"
"058 213901400","6",,"VIRGINIA GARDENS",,,"1870","4000"
"058 213901500","8",,"VIRGINIA GARDENS",,,"1186","4000"
"058 213901603","10",,"VIRGINIA GARDENS",,,"2037","3990"
"058 213901803","0",,"VIRGINIA GARDENS",,,"0","19048"
"058 213901804","1670",,"FRANKLIN ST",,,"1162","5357"
"058 213901900","18",,"VIRGINIA GARDENS",,,"3066","7186"
"058 213902000","22",,"VIRGINIA GARDENS",,,"1307","4620"
"058 213902400","15",,"VIRGINIA GARDENS",,,"2217","4000"
"058 213902500","11",,"VIRGINIA GARDENS",,,"1390","4000"
"058 213902600","9",,"VIRGINIA GARDENS",,,"1300","4000"
"058 213902700","7",,"VIRGINIA GARDENS",,,"1108","4000"
"058 213902800","5",,"VIRGINIA GARDENS",,,"1934","4000"
"058 213902900","3",,"VIRGINIA GARDENS",,,"1081","4000"
"058 213903000","1",,"VIRGINIA GARDENS",,,"1666","4000"
"058 213903108","0",,"VIRGINIA GARDENS",,,"0","12184"
"058 213903200","1300",,"CEDAR ST",,,"3500","16794"
"058 214000100","1332",,"VIRGINIA ST",,,"1460","6800"
"058 214000200","1338",,"VIRGINIA ST",,,"1250","4760"
"058 214000300","1342",,"VIRGINIA ST",,,"1046","4760"
"058 214000400","1344",,"VIRGINIA ST",,,"1497","5440"
"058 214000500","1348",,"VIRGINIA ST",,,"1358","4000"
"058 214000600","1352",,"VIRGINIA ST",,,"1342","4000"
"058 214000700","1354",,"VIRGINIA ST",,,"1136","3200"
"058 214000801","1708",,"FRANKLIN ST",,,"1431","3900"
"058 214000802","1712",,"FRANKLIN ST",,,"1379","4140"
"058 214000900","1355",,"FRANCISCO ST",,,"2086","3200"
"058 214001000","1351",,"FRANCISCO ST",,,"1196","5000"
"058 214001100","1347",,"FRANCISCO ST",,,"1297","3300"
"058 214001201","1345",,"FRANCISCO ST",,,"2677","4746"
"058 214001302","1343",,"FRANCISCO ST",,,"1215","4746"
"058 214001400","1341",,"FRANCISCO ST",,,"1189","4725"
"058 214001500","1339",,"FRANCISCO ST",,,"5020","6885"
"058 214100100","1330",,"FRANCISCO ST",,,"1192","6120"
"058 214100200","1332",,"FRANCISCO ST",,,"1161","6120"
"058 214100300","1338",,"FRANCISCO ST",,,"1857","6120"
"058 214100400","1342",,"FRANCISCO ST",,,"1263","5760"
"058 214100500","1348",,"FRANCISCO ST",,,"1955","4320"
"058 214100600","1354",,"FRANCISCO ST",,,"1247","4320"
"058 214100700","1762",,"FRANKLIN ST",,,"1292","4000"
"058 214100800","1780",,"FRANKLIN ST",,,"1986","3600"
"058 214100900","1349",,"DELAWARE ST",,,"1750","6000"
"058 214101000","1335",,"DELAWARE ST",,,"2108","4000"
"058 214101100","1315",,"DELAWARE ST",,,"1067","5670"
"058 214101200","1309",,"DELAWARE ST",,,"1126","5848"
"058 214101300","1305",,"DELAWARE ST",,,"1740","5848"
"058 214101400","1301",,"DELAWARE ST",,,"3723","5670"
"058 214200100","1360",,"FRANCISCO ST",,,"1117","3200"
"058 214200200","1364",,"FRANCISCO ST",,,"1067","3400"
"058 214200300","1368",,"FRANCISCO ST",,,"2106","3400"
"058 214200400","1370",,"FRANCISCO ST",,,"1354","4070"
"058 214200500","1374",,"FRANCISCO ST",,,"1476","4216"
"058 214200600","1378",,"FRANCISCO ST",,,"1566","3080"
"058 214200700","1724",,"ACTON ST",,,"1135","3600"
"058 214200800","1728",,"ACTON ST",,,"1121","3471"
"058 214200900","1732",,"ACTON ST",,,"1075","3600"
"058 214201000","1736",,"ACTON ST",,,"1169","3600"
"058 214201100","1780",,"ACTON ST",,,"1899","5000"
