Date	Permit Number	Status	Address	Occupancy Class
06/22/2024	ESR-2024-01959	Closed Expired	1334 OXFORD St, BERKELEY CA 94709	R-2
06/20/2024	ESR-2024-01938	Closed Expired	1310 ADDISON St, BERKELEY CA 94702	R-2
06/12/2024	ESR-2024-01853	Closed Expired	2555 COLLEGE Ave, BERKELEY CA 94704	R-2
06/06/2024	24TMP-021908		2067 UNIVERSITY Ave, BERKELEY CA 94704	R-2
06/06/2024	ESR-2024-01779	Closed Expired	2035 HEARST Ave, BERKELEY CA 94709	R-2
06/06/2024	ESR-2024-01776	Closed Expired	1623 ALCATRAZ Ave, BERKELEY CA 94703	R-2
06/06/2024	ESR-2024-01772	Closed Expired	3329 CALIFORNIA St, BERKELEY CA 94703	R-2
06/06/2024	ESR-2024-01768	Closed Expired	2235 BONAR St, BERKELEY CA 94702	R-2
06/04/2024	ESR-2024-01738	Closed Expired	2732 M L KING JR Way, 1, BERKELEY CA 94703	R-2
05/31/2024	ESR-2024-01698	Closed Expired	2017 BERKELEY Way, BERKELEY CA 94704	R-2
05/31/2024	ESR-2024-01702	Closed Expired	2409 TENTH St, BERKELEY CA 94710	R-2
05/23/2024	ESR-2024-01615	Closed Expired	2415 COLLEGE Ave, BERKELEY CA 94704	R-2
05/23/2024	ESR-2024-01613	Closed Expired	2415 COLLEGE Ave, BERKELEY CA 94704	R-2
05/23/2024	ESR-2024-01612	Closed Expired	1701 HARMON St, BERKELEY CA 94703	R-2
05/20/2024	ESR-2024-01570	Closed Expired	2311 PROSPECT St, BERKELEY CA 94704	R-2
05/14/2024	ESR-2024-01521	Closed Expired	2025 HEARST Ave, BERKELEY CA 94709	R-2
05/14/2024	ESR-2024-01519	Closed Expired	2600 ETNA St, COM, BERKELEY CA 94704	R-2
05/14/2024	ESR-2024-01518	Closed Expired	2600 ETNA St, 3, BERKELEY CA 94704	R-2
05/06/2024	ESR-2024-01406	Closed Expired	2717 HASTE St, BERKELEY CA 94704	R-2
05/02/2024	ESR-2024-01365	Closed Expired	2453 BYRON St, BERKELEY CA 94702	R-2
04/29/2024	ESR-2024-01313	Closed Expired	1808 FIFTH St, BERKELEY CA 94710	R-2
