Date	Permit Number	Status	Address
08/21/2024	undefined	Closed Expired	1936 BERRYMAN St, BERKELEY CA 94709
08/21/2024	undefined	Closed Expired	1348 FRANCISCO St, BERKELEY CA 94702
08/20/2024	undefined	Closed Expired	1200 NEILSON St, BERKELEY CA 94706
08/19/2024	undefined		1321 ADDISON St, BERKELEY CA 94702
08/19/2024	undefined	Closed Expired	1232 PERALTA Ave, BERKELEY CA 94706
08/16/2024	undefined	Closed Expired	1437 M L KING JR Way, BERKELEY CA 94709
08/14/2024	undefined	Closed Expired	2238 ROOSEVELT Ave, C, BERKELEY CA 94703
08/13/2024	undefined	Closed Expired	1719 CARLETON St, BERKELEY CA 94703
08/12/2024	undefined	Closed Expired	2638 RUSSELL St, COM, BERKELEY CA 94705
08/12/2024	undefined	Closed Expired	1321 ADDISON St, BERKELEY CA 94702
08/08/2024	undefined	Closed Expired	2310 ROOSEVELT Ave, BERKELEY CA 94703
08/07/2024	undefined	Closed Expired	2425 CALIFORNIA St, 1, BERKELEY CA 94703
07/31/2024	undefined		1529 ADA St, BERKELEY CA 94703
07/30/2024	undefined		1603 MCGEE Ave, BERKELEY CA 94703
07/29/2024	undefined	Closed Expired	1455 SPRUCE St, BERKELEY CA 94709
07/25/2024	undefined	Closed Expired	1524 UNIVERSITY Ave, BERKELEY CA 94703
07/25/2024	undefined	Closed Expired	1221 OREGON St, BERKELEY CA 94702
07/25/2024	undefined	Closed Expired	1642 RUSSELL St, A, BERKELEY CA 94703
07/25/2024	undefined	Closed Expired	1638 RUSSELL St, BERKELEY CA 94703
07/25/2024	undefined	Closed Expired	3329 CALIFORNIA St, BERKELEY CA 94703
07/24/2024	undefined	Closed Expired	2600 PIEDMONT Ave, BERKELEY CA 94704
07/24/2024	undefined		1251 CORNELL Ave, BERKELEY CA 94706
07/22/2024	undefined	Closed Expired	1339 FRANCISCO St, BERKELEY CA 94702
07/22/2024	undefined	Closed Expired	2431 COLLEGE Ave, 1, BERKELEY CA 94704
07/22/2024	undefined	Closed Expired	1423 ACROFT Ct, BERKELEY CA 94702
07/22/2024	undefined		2910 HILLEGASS Ave, 3, BERKELEY CA 94705
07/20/2024	undefined	Closed Expired	1742 M L KING JR Way, A, BERKELEY CA 94709
07/17/2024	undefined	Closed Expired	1514 OREGON St, F, BERKELEY CA 94703
07/17/2024	undefined	Closed Expired	1514 OREGON St, E, BERKELEY CA 94703
07/17/2024	undefined	Closed Expired	1514 OREGON St, D, BERKELEY CA 94703
07/17/2024	undefined	Closed Expired	1514 OREGON St, B, BERKELEY CA 94703
07/16/2024	undefined	Closed Expired	1119 HARRISON St, BERKELEY CA 94706
07/11/2024	undefined		1509 HEARST Ave, BERKELEY CA 94703
07/11/2024	undefined	Closed Expired	2409 TENTH St, BERKELEY CA 94710
07/11/2024	undefined	Closed Expired	2555 COLLEGE Ave, BERKELEY CA 94704
07/08/2024	undefined	Closed Expired	1514 OREGON St, A, BERKELEY CA 94703
07/05/2024	undefined		2210 MCKINLEY Ave, BERKELEY CA 94703
07/02/2024	undefined	Closed Expired	2210 MCKINLEY Ave, BERKELEY CA 94703
07/02/2024	undefined	Closed Expired	2455 BONAR St, BERKELEY CA 94702
07/01/2024	undefined	Closed Expired	3114 M L KING JR Way, BERKELEY CA 94703
06/30/2024	undefined	Closed Expired	3114 M L KING JR Way, BERKELEY CA 94703
06/28/2024	undefined	Closed Expired	1735 M L KING JR Way, BERKELEY CA 94709
06/28/2024	undefined	Closed Expired	1642 RUSSELL St, A, BERKELEY CA 94703
06/28/2024	undefined	Closed Expired	1638 RUSSELL St, BERKELEY CA 94703
06/24/2024	undefined	Closed Expired	2208 ROOSEVELT Ave, BERKELEY CA 94703
06/24/2024	undefined	Closed Expired	1916 STUART St, A, BERKELEY CA 94703
06/24/2024	undefined		2416 FULTON St, BERKELEY CA 94704
06/24/2024	undefined		2414 SACRAMENTO St, BERKELEY CA 94702
06/22/2024	undefined	Closed Expired	1334 OXFORD St, BERKELEY CA 94709
06/20/2024	undefined	Closed Expired	1310 ADDISON St, BERKELEY CA 94702
06/12/2024	undefined	Closed Expired	2555 COLLEGE Ave, BERKELEY CA 94704
